project_gid,project_name,task_gid,task_name,section,canonical_phase,completed,created_at,completed_at,assignee,num_subtasks,resource_subtype,tracked_minutes,n_activity,n_comments,task_custom_fields
1205980079388145,Teaching Everyone,1205980081530185,3.5 - Interview Questions,Media - Pre-production,Media - Pre-production,True,2023-11-17T18:58:10.599Z,2023-12-19T18:42:32.312Z,,2,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1205980081530187,4.2 - Interview Questions,Media - Pre-production,Media - Pre-production,True,2023-11-17T18:58:46.449Z,2024-01-26T17:04:40.092Z,,2,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1205980081530200,4.3 - Lecture Script,Media - Pre-production,Media - Pre-production,True,2023-11-17T19:02:57.577Z,2024-02-13T18:59:04.209Z,,2,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1205980081530202,5.2 - Lecture Script,Media - Pre-production,Media - Pre-production,True,2023-11-17T19:03:10.717Z,2024-03-07T16:45:23.199Z,,2,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1205980081530204,5.7 - Lecture Script,Media - Pre-production,Media - Pre-production,True,2023-11-17T19:03:26.224Z,2024-03-07T16:45:27.526Z,,2,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1206453226189899,Course Intro Script,Media - Pre-production,Media - Pre-production,True,2024-01-26T17:07:47.211Z,2024-03-07T16:45:39.945Z,,2,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1206453226190038,Milestone: Scripting Complete,Media - Pre-production,Media - Pre-production,True,2024-01-26T17:12:36.638Z,2024-03-07T16:45:59.666Z,,0,milestone,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1205980081530220,Discussion based video production,Media - Production,Media - Production,True,2023-11-17T19:13:20.854Z,2024-01-29T03:13:16.115Z,,0,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1205980081530222,Lecture video production,Media - Production,Media - Production,True,2023-11-17T19:13:30.177Z,2024-03-07T16:46:21.417Z,,0,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1206453226190045,Milestone: Production Complete,Media - Production,Media - Production,True,2024-01-26T17:13:16.646Z,2024-03-07T16:46:23.905Z,,0,milestone,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1205980081530228,Tom & Interview video editing,Media - Post-production,Media - Post-production,True,2023-11-17T19:14:22.110Z,2024-04-24T13:11:56.836Z,Matthew Simmons,8,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1205980081530230,Lecture video editing,Media - Post-production,Media - Post-production,True,2023-11-17T19:14:41.701Z,2024-04-24T13:11:57.729Z,Matthew Simmons,8,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1206453226190055,Milestone: Editing Complete,Media - Post-production,Media - Post-production,True,2024-01-26T17:13:42.905Z,2024-04-25T18:16:23.047Z,Matthew Simmons,0,milestone,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1207944583917810,Teaching Everyone Trailer,Media - Post-production,Media - Post-production,True,2024-07-31T16:29:00.371Z,2024-08-09T13:30:45.800Z,Michael Lerma,0,default_task,0.0,0,0,"{""Status"": null, ""Team"": null}"
1205980079388145,Teaching Everyone,1205980081530247,1.3 Continuum,Media - Graphics,Media - Graphics,True,2023-11-17T19:20:02.254Z,2023-12-19T19:30:59.251Z,,0,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
1205980079388145,Teaching Everyone,1205980081530249,2.4 Avatars,Media - Graphics,Media - Graphics,True,2023-11-17T19:20:03.011Z,2023-12-19T19:30:59.862Z,,0,default_task,0.0,0,0,"{""Status"": ""Complete"", ""Team"": ""Media""}"
